NightTimeOrder EnergyZ1 EnergyZ2 EnergyZ3 EnergyZ4 EnergyZ5
10.0 2.839451707346962E7 4.541233175527894E7 2.0977173605136238E7 2.715939260064803E7 9414545.126128469
10.5 2.839451707346962E7 4.541233175527894E7 2.0977173605136238E7 2.715939260064803E7 9414545.126128469
11.0 2.839451707346962E7 4.541233175527894E7 2.0977173605136238E7 2.715939260064803E7 9414545.126128469
11.5 2.839451707346962E7 4.541233175527894E7 2.0977173605136238E7 2.715939260064803E7 9414545.126128469
12.0 2.839451707346962E7 4.541233175527894E7 2.0977173605136238E7 2.715939260064803E7 9414545.126128469
12.5 2.839169835282741E7 4.541189583172387E7 2.099497910897613E7 2.7158663947250172E7 9414203.872994188
13.0 2.8387430186716143E7 4.541122114664298E7 2.1022049590639755E7 2.7157567910968766E7 9413798.99409297
13.5 2.8388858457509257E7 4.540910433229636E7 2.1052215323722377E7 2.7155408850484043E7 9421231.75266437
14.0 2.8397665226654932E7 4.540489399027419E7 2.1091520163848918E7 2.7151672525557898E7 9439007.731666196
14.5 2.8402171236888003E7 4.539124808397524E7 2.1163719152999934E7 2.7208699503581446E7 9459747.327797849
15.0 2.841539384150583E7 4.5417093886071086E7 2.129849599007005E7 2.7274092143543944E7 9493445.526923738
15.5 2.8466851123496614E7 4.547557267002017E7 2.1496492004369E7 2.7360236644195016E7 9559432.696689509
16.0 2.8588946989462096E7 4.563050037350812E7 2.1731319873377837E7 2.7616527696630325E7 9665867.26337654
16.5 2.878834813349583E7 4.594051060931712E7 2.2028846600273393E7 2.805358066027577E7 9814940.661063623
17.0 2.9108922991410773E7 4.641427188754598E7 2.2369815599604845E7 2.8661129217541378E7 1.0006158266792003E7
17.5 2.955275551995532E7 4.7018372802987024E7 2.2813033345996745E7 2.9396312857204337E7 1.0251131091555042E7
18.0 3.0163030317211565E7 4.783726446107169E7 2.337772976883828E7 3.0100688533218294E7 1.0597717783759661E7
18.5 3.0938453304642398E7 4.8979320316143475E7 2.4079669998156965E7 3.085682311801252E7 1.101874567810665E7
19.0 3.185823284768165E7 5.042877580901998E7 2.4906700849047825E7 3.183846798334096E7 1.149298196418853E7
19.5 3.2952948591234196E7 5.2235870443931594E7 2.5818825010723926E7 3.315421218190642E7 1.19964311262649E7
20.0 3.428305597614504E7 5.4476408190712154E7 2.6813974291238546E7 3.463770360073998E7 1.2557347648297908E7
20.5 3.5915381531355605E7 5.720328946607418E7 2.799448373207693E7 3.666822365503376E7 1.3100017762359533E7
21.0 3.789224495022782E7 6.0519498305324145E7 2.9537517940456927E7 3.912463472280227E7 1.3697687009823214E7
21.5 4.009985578840481E7 6.4294783182690986E7 3.125175841911313E7 4.16251758419283E7 1.4416676228991788E7
22.0 4.248420212139812E7 6.856792550417525E7 3.305263570820184E7 4.4183140116805196E7 1.5222364299420519E7
22.5 4.5060555082735896E7 7.30483951614059E7 3.496974173767318E7 4.682885159030955E7 1.611190361413013E7
23.0 4.776927065349425E7 7.77464212844437E7 3.694362954625651E7 4.9474312618138924E7 1.705540157000475E7
23.5 5.058623947783064E7 8.248704965560685E7 3.901323237473614E7 5.219057934580578E7 1.8045807232508827E7
24.0 5.348589217457297E7 8.72423742460097E7 4.119078655786886E7 5.5010608319580376E7 1.9068558080462754E7
