nightTemp  PowerZ1 PowerZ2 PowerZ3 PowerZ4 PowerZ5
0.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
0.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
1.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
1.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
2.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
2.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
3.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
3.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
4.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
4.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
5.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
5.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
6.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
6.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
7.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
7.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
8.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
8.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
9.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
9.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
10.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
10.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
11.0 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
11.5 2.7915659385533318E7 4.414222421774568E7 2.049018211624023E7 2.615292142653866E7 9087965.74986148
12.0 2.7915072517442655E7 4.414213598818625E7 2.04940176478647E7 2.61528551114025E7 9087906.383491514
12.5 2.791147889771468E7 4.4141596778919145E7 2.0517594440523375E7 2.615245392832125E7 9087548.69217939
13.0 2.790686117859325E7 4.414071680175261E7 2.0546573566973045E7 2.615181503213302E7 9089561.596375266
13.5 2.791396733246672E7 4.413819850402924E7 2.0579425975126278E7 2.6150270289791618E7 9102524.49310819
14.0 2.792568867436105E7 4.41312471139811E7 2.062957902867154E7 2.617215037877099E7 9123312.654110866
14.5 2.793391408668316E7 4.413356258707048E7 2.073016321315703E7 2.625310665685724E7 9148294.451885406
15.0 2.795340811381574E7 4.419253702062445E7 2.0903606918262225E7 2.632559472323111E7 9198561.395505216
15.5 2.801796409330972E7 4.4333018031505264E7 2.1134332866646495E7 2.6508334576848004E7 9289093.236047922
16.0 2.8161393161437534E7 4.4615193501548596E7 2.1407794404601976E7 2.6895068940074354E7 9424911.803621026
16.5 2.8385113912204858E7 4.505273471379968E7 2.173149271352653E7 2.745287660522653E7 9595758.992930982
17.0 2.873923026336814E7 4.568658365882217E7 2.2093853723557983E7 2.816405555897223E7 9808469.577063443
17.5 2.9232635605236046E7 4.643669168811428E7 2.2569014420992102E7 2.8998642071162414E7 1.00809714112419E7
18.0 2.9900552863667626E7 4.736657227621123E7 2.3183449423501227E7 2.980153095517758E7 1.045804199811715E7
18.5 3.073683681267917E7 4.8631876888104044E7 2.392835738820026E7 3.0648912866714202E7 1.0910078623619268E7
19.0 3.172018300331997E7 5.019180478256854E7 2.4805794033984788E7 3.1705365301477417E7 1.1418594652913453E7
19.5 3.2880776797772218E7 5.21227383278935E7 2.576873451566158E7 3.307895560619138E7 1.1959102178103514E7
20.0 3.428305597614504E7 5.4476408190712154E7 2.6813974291238546E7 3.463770360073998E7 1.2557347648297908E7
20.5 3.60099392649521E7 5.733700561384318E7 2.811887427769213E7 3.687431367150182E7 1.3126641150474157E7
21.0 3.8074790199771546E7 6.078201791361671E7 2.9750933572832283E7 3.9424651833787E7 1.3776325760216469E7
21.5 4.034197393418102E7 6.465996912741595E7 3.1531427238460552E7 4.1993660001527645E7 1.453988810630242E7
22.0 4.277993172331674E7 6.899326436194961E7 3.3375194109759144E7 4.4668321401623055E7 1.5381687017656034E7
22.5 4.538357506426232E7 7.354906628046902E7 3.534992276644784E7 4.740807307439844E7 1.6301215169863518E7
23.0 4.811984361047195E7 7.827757279488441E7 3.737397236073258E7 5.017331977666792E7 1.7271723207400437E7
23.5 5.095391403005477E7 8.30722459674413E7 3.9497991760507286E7 5.29997254109298E7 1.8287632926531598E7
24.0 5.387176060986229E7 8.789269323709798E7 4.172250473916245E7 5.589737327503753E7 1.9337814202502336E7
24.5 5.685818100665094E7 9.27330389651315E7 4.3977143463132255E7 5.886559774286759E7 2.0412632526137777E7
25.0 5.989123712607262E7 9.767181339349975E7 4.62597016788011E7 6.184521339727792E7 2.1505251752785355E7
25.5 6.299641508459678E7 1.0283630664670002E8 4.859744737513113E7 6.484484077341974E7 2.2606712836677313E7
26.0 6.6185716172794834E7 1.0824289490128402E8 5.0975062383385874E7 6.781450359570919E7 2.373044452939704E7
26.5 6.951315649732877E7 1.1377496278086576E8 5.337844940165298E7 7.074416897330214E7 2.489348834192068E7
27.0 7.301105832002138E7 1.1938134362960693E8 5.583457614091276E7 7.368288667417273E7 2.6076809756894335E7
27.5 7.66183724634716E7 1.2496362941155495E8 5.834620665130594E7 7.654661040805352E7 2.7290951236444317E7
28.0 8.031139155360669E7 1.30452395547444E8 6.08812498077704E7 7.944120137644966E7 2.8517859826859765E7
28.5 8.404300037498014E7 1.3587003901547128E8 6.348049340555678E7 8.233860173476933E7 2.9750896218315616E7
29.0 8.783368682264039E7 1.4117673225365582E8 6.612579412776673E7 8.518714649623896E7 3.0983157481151175E7
29.5 9.16700494563727E7 1.4635891436595213E8 6.879641699162468E7 8.798865131725517E7 3.2207208084836815E7
30.0 9.557430071744956E7 1.5160835011845094E8 7.14976866941138E7 9.079835031679642E7 3.338235803764586E7
30.5 9.959140111189409E7 1.5695935593849033E8 7.423064546931554E7 9.359173114696102E7 3.4527820095158145E7
31.0 1.0370251097990635E8 1.6248344081458777E8 7.698109015594643E7 9.630702369945557E7 3.566413613761445E7
31.5 1.079549370097428E8 1.680024242617741E8 7.975016668233995E7 9.898148356852315E7 3.67995332875103E7
32.0 1.1232662888990267E8 1.7351915020005324E8 8.256744792108612E7 1.015864190561773E8 3.794741539316274E7
32.5 1.1682354675583223E8 1.7897914255642325E8 8.537618082925855E7 1.0422424238777597E8 3.909895441463016E7
33.0 1.2141880996328318E8 1.842117161671625E8 8.815243271028574E7 1.069388519947203E8 4.0234656260169126E7
33.5 1.2609536685506764E8 1.8924370217345423E8 9.089502915393955E7 1.0962184967547522E8 4.133385435060849E7
34.0 1.3082681738667357E8 1.941686757620618E8 9.359208513530552E7 1.123807223137214E8 4.2383784947980136E7
34.5 1.3561301670957413E8 1.9901992842312816E8 9.62606612110748E7 1.1514553800720955E8 4.34276206421523E7
35.0 1.4043423258306757E8 2.0376448888580602E8 9.889868822635691E7 1.1788648226291557E8 4.44639952870133E7
35.5 1.452856776012798E8 2.083518465420966E8 1.0145551983322686E8 1.206235829172685E8 4.549893955107112E7
36.0 1.5012582585521913E8 2.1285843720620185E8 1.0401955476124026E8 1.2337980748291658E8 4.6538271835211165E7
36.5 1.5495995181103364E8 2.1721535088928238E8 1.0658025478729352E8 1.2618487671603103E8 4.756171162543785E7
37.0 1.5978670724247697E8 2.2140837334682205E8 1.0911224176552725E8 1.2898687088827032E8 4.857350191872318E7
37.5 1.6452768882855025E8 2.2553701081633034E8 1.1163124767374177E8 1.3178554135564661E8 4.95620590724564E7
38.0 1.6920461575494668E8 2.296387778792591E8 1.1407467764250624E8 1.345497811756314E8 5.0537322477835216E7
38.5 1.7382508716309968E8 2.336656008695946E8 1.1645090043190697E8 1.3724398858283085E8 5.151637311214085E7
39.0 1.7837392727562895E8 2.3758037635540044E8 1.1881169950711796E8 1.3987099217943186E8 5.250440760345013E7
39.5 1.8281470775814292E8 2.4140655407078245E8 1.2118103735332027E8 1.424089009107374E8 5.349298417663592E7
40.0 1.8709379679227236E8 2.4514166992288664E8 1.235468385988108E8 1.4486574816654116E8 5.446110764013293E7
40.5 1.9126371347865337E8 2.4872751659808078E8 1.2587690807107814E8 1.47179869062248E8 5.542410239229747E7
41.0 1.953405790509691E8 2.5218603023634812E8 1.2818026708997943E8 1.4942013239916378E8 5.63615520578966E7
41.5 1.992677970941321E8 2.55537055893727E8 1.3044693915632407E8 1.5159123783836222E8 5.727612262155588E7
42.0 2.0311511678242305E8 2.5866782349125838E8 1.326856289506152E8 1.5369254069132257E8 5.816767882626123E7
42.5 2.0690506868474314E8 2.616378308062205E8 1.3491162923444337E8 1.5568656160207903E8 5.9011925039717294E7
43.0 2.1055011117556506E8 2.6446876084156063E8 1.37117825717224E8 1.576123212460316E8 5.9830229299386255E7
43.5 2.1408905152228868E8 2.67179883499608E8 1.392948696308619E8 1.593761975492884E8 6.0626981809314966E7
44.0 2.175302349965587E8 2.697879904957281E8 1.414227264027003E8 1.609351264036571E8 6.140060074228163E7
44.5 2.2091390958333033E8 2.721464741987421E8 1.435034683493509E8 1.6239273163500455E8 6.213757118600745E7
45.0 2.24228701880692E8 2.7436837834276485E8 1.455194674216959E8 1.6381847398752525E8 6.283443266652359E7
